DateTime,AddedIPs,RemovedIPs
1659134167,0,2
1659134886,0,2
1659135611,0,2
1659137048,0,6
1659138488,3,7
1659139210,1,1
1659139925,1,3
1659140646,0,1
1659141366,2,3
1659142085,2,4
1659142808,2,4
1659143527,3,3
1659144251,5,5
1659144966,5,2
1659145685,1,12
1659146405,1,8
1659147128,4,3
1659147846,9,3
1659148567,0,2
1659149287,5,5
1659150011,2,3
1659150727,1,3
1659151451,1,3
1659152165,6,3
1659152886,5,5
1659153610,1,4
1659154327,3,3
1659155050,3,2
1659155770,2,0
1659156485,5,2
1659157215,2,0
1659158648,4,0
1659159367,2,1
1659160089,3,2
1659160812,1,0
1659161529,2,0
1659162248,1,1
1659162968,1,0
1659163931,3,7
1659164647,1,0
1659165366,2,0
1659166084,1,1
1659167525,2,3
1659168248,2,3
1659168970,1,1
1659169926,1,4
1659170646,1,2
1659171364,1,0
1659172328,1,2
1659173048,1,2
1659173769,1,2
1659174488,0,2
1659175209,0,3
1659175929,3,1
1659176648,1,0
1659177369,1,3
1659178087,1,2
1659178816,3,0
1659179526,0,2
1659180247,1,1
1659180970,2,0
1659181687,0,2
1659182410,0,1
1659183128,2,2
1659183852,1,1
1659184568,1,1
1659185288,1,0
1659186009,2,3
1659186725,0,1
1659187446,1,0
1659188170,1,1
1659188884,3,1
1659190333,2,2
1659191048,0,1
1659191767,2,1
1659192725,0,2
1659193448,1,0
1659194169,4,2
1659194887,3,0
1659196565,0,2
1659197285,2,1
1659198009,1,3
1659198727,1,0
1659199447,4,0
1659200166,1,2
1659201133,2,2
1659201855,1,3
1659203285,5,0
1659204005,1,1
1659204725,1,3
1659205448,1,1
1659206165,3,4
1659206885,1,3
1659207607,1,2
1659208327,1,2
1659209046,2,1
1659209774,1,1
1659210487,1,0
1659211210,0,4
1659211926,1,0
1659212646,3,3
1659213366,1,2
1659214087,2,1
1659214806,1,1
1659215527,0,2
1659216247,1,1
1659217207,2,2
1659217927,0,3
1659218647,3,1
1659219368,3,2
1659220085,2,4
1659220808,1,4
1659221530,0,1
1659222249,0,1
1659222970,2,1
1659223686,1,1
1659224408,1,4
1659225130,0,4
1659225849,2,4
1659226565,1,1
1659227285,4,1
1659228007,4,4
1659228724,1,2
1659229450,2,4
1659230167,4,7
1659230887,0,1
1659231607,4,5
1659232329,1,12
1659233049,4,5
1659233765,9,4
1659234486,1,8
1659235206,4,2
1659235925,2,3
1659236650,2,3
1659237370,2,4
1659238087,2,2
1659238809,4,4
1659239525,0,5
1659240247,4,4
1659240966,0,2
1659241686,2,2
1659242420,2,3
1659243370,3,1
1659244329,5,1
1659245052,0,1
1659245769,3,1
1659246485,1,3
1659247206,2,0
1659247930,1,0
1659248652,1,0
1659249368,2,2
1659250085,2,3
1659250806,1,2
1659251529,2,1
1659252253,0,1
1659252967,2,1
1659253688,1,3
1659254406,0,1
1659255125,1,0
1659255848,2,2
1659256571,2,1
1659257529,2,3
1659258248,0,1
1659258965,1,1
1659259689,2,0
1659260408,2,1
1659261128,0,1
1659261848,2,0
1659262566,1,4
1659263285,2,2
1659264011,3,3
1659264729,1,0
1659265451,3,3
1659266167,1,0
1659266884,0,3
1659267605,1,1
1659268330,2,1
1659269048,1,0
1659269766,1,0
1659270725,2,1
1659271447,2,1
1659272886,1,1
1659274325,1,0
1659275046,3,1
1659275765,0,3
1659276487,2,7
1659277449,1,1
1659278165,0,2
1659278886,1,1
1659279605,1,3
1659280329,1,0
1659281052,3,3
1659281769,1,0
1659282485,2,0
1659283215,0,2
1659284168,1,3
1659284885,0,1
1659285609,2,2
1659286571,0,1
1659287285,3,2
1659288034,0,2
1659288760,0,1
