DateTime,AddedIPs,RemovedIPs
1658681287,1,1
1658683086,1,5
1658684166,0,4
1658684886,2,1
1658686328,1,3
1658687515,1,1
1658689567,0,3
1658690701,1,0
1658691725,2,11
1658692925,1,2
1658694966,1,1
1658695327,0,3
1658696767,0,1
1658699286,1,2
1658702527,0,4
1658703245,1,1
1658703965,0,2
1658705767,0,3
1658708287,1,0
1658710086,0,2
1658713327,4,0
1658715126,2,1
1658717286,0,1
1658718427,2,1
1658719807,1,2
1658720946,0,1
1658722683,0,1
1658725985,2,3
1658726286,0,1
1658727425,0,2
1658728926,1,0
1658732047,1,0
1658733486,1,1
1658735287,2,0
1658737443,1,0
1658739966,2,0
1658741766,1,1
1658743566,3,0
1658745365,0,1
1658746087,1,0
1658747166,2,1
1658752206,3,0
1658758328,1,0
1658760126,1,0
1658761566,1,1
1658762287,1,0
1658762646,1,0
1658763365,1,0
1658765525,2,2
1658765885,2,0
1658766963,0,1
1658768047,3,0
1658769846,4,0
1658770926,3,0
1658772725,3,1
1658773806,1,0
1658775245,5,0
1658775966,1,1
1658777045,2,0
1658778486,2,1
1658779627,2,0
1658780645,1,0
1658781007,0,1
1658782086,1,0
1658783886,1,1
1658784606,0,1
1658785687,1,1
1658787847,1,0
1658788214,0,1
1658789287,1,0
1658791086,1,0
1658796846,3,0
1658797927,0,1
1658799725,0,1
1658802607,0,2
1658805847,1,0
1658808727,0,1
1658811966,2,1
1658814845,1,0
1658815986,1,0
1658820667,1,0
1658822766,1,0
1658828166,0,1
1658830685,2,0
1658831766,0,2
1658832847,0,1
1658833925,1,0
1658834645,1,1
1658838965,1,1
1658842207,2,0
1658847978,0,1
1658849766,0,14
1658851210,0,1
1658852647,2,0
1658854446,3,1
1658855167,2,4
1658857327,1,1
1658859846,1,0
1658861287,3,4
1658863086,0,2
1658864886,1,1
1658866327,0,2
1658867768,1,0
1658869565,2,1
1658871008,1,0
1658872085,1,0
1658872809,1,1
1658874247,3,0
1658874608,1,0
1658875745,0,1
1658876765,1,0
1658877485,2,0
1658878626,1,1
1658879645,1,0
1658880725,0,1
1658882166,3,0
1658882886,0,3
1658886485,2,3
1658888646,1,3
1658889366,0,1
1658889726,1,0
1658892246,1,0
1658893327,1,0
1658894785,0,1
1658896207,1,1
1658896926,1,0
1658900526,1,0
1658901965,1,1
1658903407,22,1
1658905565,0,1
1658907366,0,1
1658910966,0,3
1658912766,0,2
1658913485,2,0
1658914925,1,1
1658916726,0,2
1658919967,1,0
1658921046,1,0
1658921766,0,3
1658924287,3,0
1658925727,1,0
1658926447,8,0
1658928607,0,1
1658929745,0,1
1658932566,0,3
1658935086,0,2
1658935808,1,4
1658936526,2,0
1658937246,1,0
1658939408,2,6
1658940127,2,0
1658941565,1,5
1658944446,1,3
1658945168,0,2
1658947327,0,4
1658949185,1,1
1658951645,0,1
1658953806,2,1
1658956686,1,0
1658958487,9,2
1658959601,2,1
1658960324,2,0
1658962086,1,1
1658962446,2,0
1658963885,1,0
1658964607,0,1
1658965686,0,1
1658966766,0,2
1658968565,2,0
1658970366,18,0
1658973609,1,0
1658975407,0,1
1658979365,0,1
1658981166,0,1
1658982965,2,0
1658985124,1,0
1658986205,0,1
1658988401,1,0
1658999886,0,3
1659000610,1,1
1659001325,0,2
1659004566,0,1
1659006727,3,0
1659007809,0,1
1659009245,2,0
1659009968,0,2
1659012487,1,0
1659018607,0,1
1659019327,1,0
1659020046,1,0
1659021127,2,0
1659022207,0,2
1659022927,3,2
1659024365,1,1
1659025087,1,0
1659025808,1,1
1659026167,1,0
1659026885,2,0
1659028686,4,0
1659029406,1,1
1659030127,1,0
1659030487,1,0
1659032287,0,3
1659034087,0,1
1659035885,7,0
1659037687,4,1
1659040208,0,2
1659041285,0,1
1659042366,0,1
1659043808,1,4
1659047766,0,2
1659048966,0,1
1659051009,0,3
1659053525,1,0
1659054666,0,2
1659055325,1,0
1659057486,3,0
1659058207,0,1
1659059646,1,1
1659061086,0,1
1659062166,1,2
1659063305,1,1
1659066845,0,1
1659068646,1,1
1659069366,0,1
1659070087,1,1
1659072666,1,1
1659073806,1,0
1659075127,1,0
1659075846,1,0
1659076986,1,0
1659079086,1,0
1659079807,1,0
1659083767,0,3
1659088445,0,1
1659090245,1,0
1659090966,0,1
1659092764,0,2
1659094266,0,2
1659096009,0,1
1659097445,1,0
1659101047,1,0
1659103925,7,0
1659105006,0,1
1659105725,0,1
1659106447,1,0
1659107525,2,2
1659108247,1,0
1659108965,0,28
1659109686,0,1
1659111486,1,1
1659113645,1,0
1659114365,3,0
1659115086,4,1
1659116886,2,0
1659118686,2,2
1659119406,1,0
1659120125,1,0
1659120845,3,0
1659122647,2,1
1659123366,1,2
1659124085,2,0
1659127326,1,9
1659128045,2,0
1659128767,1,1
1659129846,1,0
1659130565,1,4
1659130926,0,1
1659132367,1,4
1659133087,8,1
1659134886,1,1
1659137408,0,1
1659138128,1,1
1659139926,7,0
1659141366,1,18
1659146045,1,0
1659148566,1,0
1659148926,1,0
1659150367,1,0
1659152166,0,2
1659153966,1,0
1659155766,0,1
1659157565,0,1
1659159727,1,0
1659161886,1,0
1659165485,1,0
1659166207,1,0
1659169808,0,1
1659172686,0,1
1659173407,0,1
1659174127,1,0
1659175567,0,2
1659176286,2,0
1659177726,0,1
1659179887,2,0
1659180606,1,0
1659182046,0,1
1659183487,2,0
1659184927,1,0
1659188526,1,0
1659189965,0,2
1659192846,0,2
1659193566,0,1
1659195728,0,5
1659197525,1,3
1659198247,1,0
1659198606,0,3
1659199686,0,1
1659200766,0,1
1659201487,2,0
1659203286,2,0
1659204009,2,6
1659204727,2,0
1659206886,4,2
1659208686,4,3
1659210485,9,0
1659213007,1,1
1659214445,2,0
1659216607,4,0
1659217328,3,0
1659218766,2,0
1659220566,1,0
1659222111,3,0
1659223209,3,0
1659224347,0,1
1659224887,1,0
1659226686,3,2
1659227410,2,1
1659229214,2,2
1659229926,1,0
1659233166,0,1
1659233886,0,1
1659237126,0,1
1659241087,0,1
1659242166,0,1
1659244686,1,1
1659246485,0,1
1659247565,0,2
1659248286,1,0
1659250085,1,0
1659253746,1,0
1659255485,1,0
1659258366,3,0
1659260526,1,0
1659268086,1,1
1659269887,17,0
1659270609,0,1
1659274927,0,5
1659276726,0,1
1659278166,0,1
1659278886,0,1
1659279966,1,0
1659280685,2,0
1659281045,1,0
1659282127,1,4
1659283566,1,2
1659285366,3,4
1659286507,4,0
1659286809,0,3
1659287886,1,0
1659288607,2,1
1659290045,2,0
1659291126,4,4
1659292207,1,2
1659295086,0,2
1659298026,1,3
1659300126,0,1
1659302646,1,2
1659303726,0,10
1659305166,1,0
1659308046,1,0
1659308767,2,7
1659310207,1,0
1659311646,3,0
1659313446,0,1
1659316326,0,1
1659318127,0,1
1659319986,0,1
1659321007,1,1
1659323887,0,2
1659324608,0,2
1659324965,1,0
1659330366,0,2
1659332527,0,1
1659334027,1,1
1659335406,0,2
1659339727,0,1
1659341885,1,0
1659343685,2,1
1659346208,0,1
1659347287,1,0
1659349085,0,1
1659351966,2,1
1659353765,0,2
1659356286,1,0
1659358446,1,0
1659359166,1,0
1659365286,2,0
1659367446,0,1
1659368167,0,1
1659370685,5,2
1659371407,1,3
1659372126,1,1
1659372846,2,0
1659373566,0,2
1659375728,1,6
1659376445,1,0
1659377166,2,1
1659377885,1,0
1659378607,0,2
1659380767,5,7
1659381485,1,0
1659382209,2,1
1659384366,6,2
1659385086,1,0
1659385806,1,3
1659386526,0,3
1659388686,4,3
1659390846,0,2
1659391566,0,2
1659394086,3,5
1659395885,5,1
1659398046,1,5
1659398409,1,2
1659399126,1,0
1659404526,1,0
1659410648,1,0
1659411365,1,0
1659412087,1,0
1659414965,0,1
1659415688,1,0
1659418565,0,1
1659419645,1,0
