DateTime,AddedIPs,RemovedIPs
1657771566,3,0
1657801088,18,1
1657802888,2,6
1657804688,0,5
1657805408,1,3
1657816567,1,0
1657822415,1,0
1657829526,0,2
1657830967,0,95
1657833486,0,1
1657837447,0,1
1657839620,0,2
1657844287,0,1
1657846087,1,1
1657847167,0,2
1657850047,0,1
1657854833,2,2
1657855809,0,1
1657865167,0,1
1657870927,0,3
1657877468,0,2
1657880288,1,0
1657899728,0,3
1657903328,2,0
1657904768,1,1
1657907286,1,0
1657909447,4,1
1657910168,0,1
1657910887,2,0
1657912328,2,0
1657913768,1,1
1657916288,0,2
1657918088,1,1
1657923221,1,1
1657928888,1,0
1657933567,0,1
1657935009,0,1
1657939327,0,2
1657942567,0,1
1657944729,1,0
1657949047,1,0
1657950128,0,1
1657953008,1,0
1657954567,1,1
1657957327,1,0
1657959220,1,0
1657961288,1,0
1657963088,1,1
1657964889,1,0
1657968126,1,1
1657969326,2,0
1657973167,1,0
1657979288,1,0
1657981448,0,1
1657981809,0,1
1657983727,1,0
1657986486,0,1
1657990448,0,1
1657991168,0,1
1657994048,0,1
1657999808,0,1
1658012046,0,1
1658016728,1,1
1658018886,0,1
1658026086,1,5
1658030768,1,0
1658032986,0,2
1658035809,5,0
1658038327,1,0
1658039767,0,1
1658045166,0,1
1658047326,1,0
1658054530,0,1
1658055966,1,0
1658075048,0,1
1658076848,1,0
1658079367,0,2
1658082965,0,1
1658086208,0,1
1658089447,0,1
1658092687,1,0
1658094127,1,1
1658102767,0,1
1658109246,1,0
1658115367,1,0
1658121127,4,0
1658121848,1,0
1658122567,1,0
1658123286,0,1
1658124368,0,1
1658125806,0,1
1658137687,2,1
1658145247,0,1
1658150286,0,1
1658151007,1,0
1658153166,0,1
1658156768,0,1
1658163248,1,0
1658163968,0,1
1658174048,1,0
1658176929,1,0
1658182686,1,0
1658189887,1,0
1658191328,0,1
1658192769,1,0
1658194568,1,0
1658197447,1,0
1658199967,0,1
1658202246,0,1
1658205010,0,1
1658206446,2,0
1658208249,1,0
1658210766,0,1
1658212927,0,1
1658226247,1,1
1658232009,0,1
1658233807,0,1
1658245688,0,1
1658247487,0,1
1658250368,0,1
1658251809,0,1
1658252888,0,2
1658258288,1,0
1658264048,1,0
1658268369,1,0
1658268836,1,0
1658275568,0,1
1658278448,0,2
1658282048,0,1
1658284929,0,1
1658286891,0,1
1658287809,0,2
1658288887,1,0
1658289967,1,0
1658291768,0,1
1658295729,5,1
