DateTime,AddedIPs,RemovedIPs
1658540169,21,10
1658542330,12,13
1658544488,15,8
1658546317,22,11
1658548354,14,8
1658550247,17,10
1658552192,13,10
1658554086,15,13
1658556005,18,13
1658557924,13,12
1658559847,17,15
1658561790,13,4
1658563951,13,14
1658565845,13,14
1658567789,16,19
1658569950,21,18
1658571845,17,17
1658573763,18,19
1658575709,13,12
1658577604,12,13
1658579525,16,16
1658581471,13,14
1658583364,13,12
1658585528,17,14
1658587472,15,7
1658589366,18,0
1658591309,17,21
1658593207,13,0
1658595127,21,6
1658597073,9,14
1658598963,10,13
1658600912,8,19
1658602809,5,10
1658604724,8,5
1658606675,4,4
1658608565,18,9
1658610486,15,7
1658612434,15,12
1658614328,9,8
1658616271,24,9
1658618163,20,10
1658620109,8,9
1658622005,16,6
1658623924,16,10
1658625873,15,8
1658627769,10,15
1658629685,16,14
1658631643,13,12
1658633524,13,6
1658635445,20,7
1658637393,16,10
1658639283,18,9
1658641205,13,13
1658643154,23,17
1658645046,19,7
1658646994,17,16
1658648884,14,12
1658650837,15,0
1658652730,23,10
1658654647,21,13
1658656596,11,20
1658658484,15,0
1658660407,13,13
1658662325,17,11
1658664246,16,8
1658666192,19,9
1658668084,11,14
1658670007,15,16
1658671949,10,8
1658673845,6,10
1658675792,13,13
1658677686,10,8
1658679605,14,9
1658681553,12,9
1658683445,19,9
1658685394,9,10
1658687554,10,8
1658689689,16,6
1658691634,14,3
1658693529,14,8
1658695444,11,0
1658697397,6,13
1658699285,12,0
1658701211,11,9
1658703153,12,21
1658705061,11,0
1658707210,11,17
1658709125,8,10
1658711074,11,0
1658712966,8,6
1658715124,22,7
1658717075,10,12
1658718967,9,9
1658721127,10,6
1658723057,10,11
1658724992,12,10
1658726883,13,8
1658729054,17,10
1658730990,14,14
1658732887,13,6
1658734804,11,19
1658736990,15,11
1658738885,10,18
1658740804,14,15
1658742752,15,15
1658744645,12,9
1658746808,12,15
1658748725,15,13
1658750671,8,16
1658752568,11,15
1658754725,14,16
1658756650,15,13
1658758591,14,15
1658760483,10,11
1658762404,15,16
1658764353,13,15
1658766245,11,13
1658768167,16,7
1658770110,13,11
1658772008,11,12
1658774167,15,15
1658776329,16,17
1658778268,19,16
1658780166,15,13
1658782327,13,16
1658784246,13,10
1658786192,11,14
1658788087,19,13
1658790271,11,16
1658792191,18,12
1658794085,17,9
1658796006,10,11
1658797949,15,13
1658799845,9,16
1658801787,7,14
1658803929,12,11
1658806090,16,9
1658808247,9,7
1658810190,14,8
