DateTime,AddedIPs,RemovedIPs
1658812082,83,48
1658812922,8,0
1658813581,1,0
1658814122,1,0
1658814723,1,0
1658815322,1,0
1658817181,2,0
1658818082,66,39
1658821322,1,0
1658821922,59,61
1658822522,10,0
1658823842,63,59
1658824922,3,0
1658826007,56,238
1658826122,1,0
1658826722,1,0
1658828163,61,50
1658829722,1,0
1658830922,1,0
1658832002,47,36
1658832722,4,0
1658835842,33,58
1658838122,3,0
1658839322,1,0
1658840162,45,38
1658841122,3,0
1658842323,52,51
1658845322,3,0
1658846642,50,49
1658847122,2,0
1658848322,2,0
1658848922,1,0
1658850122,1,0
1658850483,44,45
1658851323,2,0
1658852642,46,41
1658853122,3,0
1658858406,42,47
1658859122,1,0
1658860922,2,0
1658862242,61,67
1658863322,2,0
1658864162,45,45
1658866081,45,45
1658868001,50,54
1658869323,1,0
1658870522,1,0
1658871723,1,0
1658872322,49,47
1658872922,1,0
1658875922,1,0
1658876162,36,52
1658877122,1,0
1658877722,2,0
1658881322,1,0
1658882162,89,74
1658882522,1,1
1658884323,1,0
1658886002,94,56
1658886122,2,0
1658887923,1,0
1658889842,61,72
1658890322,2,0
1658892122,1,0
1658893323,2,0
1658895842,64,88
1658898122,1,0
1658899925,110,109
1658905322,1,0
1658905922,75,70
1658907722,1,0
1658908922,1,0
1658910123,1,0
1658911922,42,38
1658912522,2,0
1658913722,1,0
1658915762,45,39
1658917322,6,0
1658917682,33,38
1658918522,2,0
1658919722,2,0
1658920922,13,0
1658921522,16,2830
1658922122,1,0
1658922722,5,0
1658923442,2831,16
1658925362,58,57
1658926922,2,0
1658927282,195,182
1658927523,3,0
1658929202,188,196
1658930522,3,0
1658931722,1,0
1658932922,2,0
1658933522,38,42
1658934722,1,0
1658935322,1,0
1658937122,0,1
1658937723,1,0
1658938322,1,0
1658939522,41,1589
1658941682,1542,0
1658943602,41,37
1658943722,2,0
1658944922,1,0
1658945522,1,0
1658947442,41,46
1658948522,1,0
1658949122,1,0
1658950922,1,0
1658951282,41,52
1658953203,39,35
1658953322,1,0
1658954522,1,0
1658955722,2,0
1658959322,1,0
1658960522,1,0
1658961122,62,74
1658961722,2,0
1658962322,1,0
1658964962,51,42
1658965322,1,1
1658966883,41,43
1658967123,1,0
1658967722,1,0
1658970122,2,0
1658971982,1,0
1658972642,79,54
1658974562,54,79
1658976122,1,0
1658976482,116,81
1658977322,1,0
1658978522,2,0
1658980806,60,78
1658980922,3,0
1658982962,47,55
1658987043,49,49
1658987522,2,0
1658988722,3,0
1658989981,2,0
1658990882,54,35
1658991122,1,0
1658991723,1,0
1658993523,4,0
1658994722,2,0
1658995207,35,47
1658995322,2,0
1658995922,2,0
1658996522,1,0
1658997122,33,39
1658997722,2,0
1659000122,2,0
1659001322,3,0
1659002882,45,40
1659004802,70,73
1659005522,1,0
1659006122,1,0
1659006722,75,74
1659008522,1,0
1659009722,2,0
1659010562,31,33
1659010922,1,0
1659011582,1,0
1659012122,2,0
1659012482,33,33
1659013923,1,0
1659014522,2,0
1659016322,40,33
1659016922,1,0
1659018122,2,0
1659020162,39,41
1659020522,2,0
1659021722,1,0
1659024005,32,65
1659024122,1,0
1659025981,1,0
1659027842,40,40
1659028922,1,0
1659029762,134,34
1659032522,1,0
1659033842,123,53
1659034922,3,0
1659036122,1,0
1659037682,121,40
1659037922,1,0
1659040922,3,0
