DateTime,AddedIPs,RemovedIPs
1659240963,10,14
1659241419,17,14
1659241684,1,0
1659242141,9,18
1659242418,10,10
1659242909,19,18
1659243820,24,11
1659244541,15,10
1659244807,15,13
1659245500,9,17
1659246220,15,18
1659246726,8,6
1659246941,14,16
1659247660,11,11
1659248382,9,21
1659248649,15,18
1659249101,12,13
1659249820,20,9
1659250587,23,25
1659251260,6,6
1659251980,12,5
1659252749,25,31
1659253419,21,8
1659254139,7,13
1659254648,12,8
1659254859,7,8
1659255579,11,9
1659256300,17,13
1659256569,10,15
1659257072,25,19
1659258752,30,32
1659259420,6,13
1659259683,1,0
1659260143,7,7
1659260645,18,6
1659260860,12,8
1659261580,12,20
1659262300,11,13
1659262563,13,9
1659263020,5,16
1659263739,219,15
1659264508,20,19
1659265181,7,12
1659265899,11,11
1659266405,12,13
1659266620,9,16
1659267340,12,13
1659268061,13,24
1659268327,10,8
1659268780,10,21
1659269501,9,21
1659270268,17,27
1659270941,16,19
1659271715,20,16
1659272164,9,8
1659272380,12,17
1659273100,8,14
1659273820,14,23
1659274088,12,22
1659274541,8,14
1659275260,14,14
1659276038,18,26
1659276941,13,29
1659277660,11,19
1659277924,15,13
1659278381,10,22
1659279100,12,11
1659279872,18,28
1659280541,11,17
1659281501,22,14
1659281767,15,7
1659282220,8,13
1659282940,9,22
1659283710,14,27
1659284380,8,8
1659285100,3,12
1659285365,1,0
1659285606,7,16
1659286059,5,8
1659286569,9,8
1659287020,14,13
1659287527,11,7
1659287980,15,12
1659288700,5,6
1659289471,21,24
1659290139,5,19
1659290859,4,12
1659291368,9,10
1659291820,5,17
1659292541,15,12
1659293310,27,18
1659293980,16,7
1659294700,11,8
1659295208,8,6
1659295421,6,11
1659296140,7,8
1659296860,10,10
1659297124,8,13
1659297581,6,7
1659298300,8,15
1659299071,7,23
1659299742,30,91
1659300459,16,16
1659300965,13,6
1659301241,17,28
1659301901,17,18
1659302619,9,18
1659303129,7,5
1659303363,4,9
1659304060,0,25
1659304779,4,11
1659305289,8,4
1659305739,17,22
1659306461,1,8
1659307227,12,16
1659307899,6,11
1659308619,7,9
