DateTime,AddedIPs,RemovedIPs
1652171047,19,8
1652185687,24,13
1652200566,21,8
1652215230,22,26
1652229848,16,28
1652244508,16,30
1652259149,12,25
1652273786,16,17
1652288654,11,16
1652303528,10,28
1652318404,10,11
1652333254,10,22
1652348172,12,30
1652362831,8,24
1652377445,11,30
1652392330,14,22
1652406966,11,20
1652421627,17,28
1652436270,4,19
1652450883,11,10
1652465547,14,9
1652480168,14,25
1652494806,10,25
1652509447,16,36
1652524110,17,25
1652538747,10,10
1652553607,12,13
1652568246,11,21
1652583129,15,11
1652597763,6,27
1652612428,21,28
1652627069,9,14
1652641706,12,11
1652656350,11,19
1652670968,15,5
1652685605,13,23
1652700245,7,18
1652715149,12,8
1652729764,10,20
1652744430,5,20
1652759048,7,5
1652773691,13,9
1652788566,14,12
1652803446,11,18
1652818329,6,8
1652832986,4,28
1652847604,8,18
1652862248,15,27
1652877129,8,17
1652891765,5,20
1652906407,5,20
1652921290,5,13
1652936170,10,10
1652950811,6,12
1652965449,10,16
1652980084,3,27
1652994726,3,17
1653009369,8,22
1653024027,9,15
1653038646,4,19
1653053287,12,10
1653067925,9,14
1653082565,4,24
1653097229,7,15
1653111849,7,21
1653126509,8,20
1653141131,9,16
1653155764,19,13
1653170430,9,4
1653185045,6,13
1653199927,13,8
1653214564,3,10
1653229232,7,20
1653243871,4,7
1653258731,10,15
1653273387,8,8
1653288004,7,3
1653302646,3,4
1653317286,11,17
1653331952,7,14
1653346564,10,15
1653361204,23,8
1653375876,16,8
1653390725,6,18
1653405388,13,5
1653420005,11,19
1653434669,10,46
1653449795,11,49
1653464408,11,13
1653479070,4,26
1653493711,12,12
1653508567,13,20
1653523237,17,15
1653537874,6,18
1653552726,12,8
1653567393,7,23
1653582253,18,14
1653597125,6,9
1653611766,17,15
1653626432,16,21
1653641045,12,14
1653655709,12,14
1653670353,12,11
1653684993,14,17
1653699612,17,11
1653714247,14,21
1653729153,9,17
1653743792,9,12
1653758435,5,15
1653773052,8,10
1653787688,8,9
1653802590,7,11
1653817204,14,14
1653831874,13,16
1653846734,16,14
1653861368,16,7
1653876038,5,4
1653890676,9,18
1653905536,21,6
1653920191,7,27
1653935046,13,7
1653949927,25,8
1653964597,8,21
1653979204,10,13
1653993872,12,10
1654008730,20,3
1654023393,18,19
1654038011,14,24
1654052649,19,17
1654067551,11,15
1654082408,7,14
1654097317,20,5
1654111950,16,2
1654126596,20,8
1654141205,14,18
1654155871,8,19
1654170488,16,10
1654185126,22,17
1654199764,12,20
1654214413,12,20
1654229048,11,6
1654243928,8,10
1654258568,15,8
1654273278,15,14
1654287866,15,11
1654302516,13,9
1654317399,14,8
1654332004,13,25
1654346673,7,14
1654361528,7,10
1654376194,8,10
1654390812,9,8
1654405472,19,10
1654420117,9,13
1654434724,5,7
1654449365,20,15
1654464249,9,5
1654478916,8,16
1654493525,8,17
1654508164,13,47
1654523968,11,13
1654538887,10,14
1654553525,7,8
1654568197,9,16
1654582804,9,15
1654597445,18,16
1654612197,16,18
1654626727,8,4
1654641394,20,10
1654656008,5,13
1654670646,5,35
1654685529,6,13
1654700171,11,4
1654714838,7,8
1654729449,9,15
1654744084,20,14
1654758726,16,22
1654773608,14,12
1654788249,21,5
1654802913,14,13
1654817552,18,30
1654832192,17,3
1654847073,11,22
1654861688,9,5
1654876356,6,13
1654890964,12,13
1654905615,8,17
1654920252,11,14
1654935299,10,4
1654950031,12,12
1654964676,11,23
1654979314,6,11
1654993955,11,13
1655008589,19,20
1655023206,21,6
1655037871,20,15
1655052490,20,8
1655067153,23,13
1655081763,20,15
1655096434,16,14
1655111078,6,15
1655125925,25,12
1655140590,10,11
1655155206,17,15
1655169848,13,16
1655184511,28,23
1655199150,15,9
1655213773,15,9
1655228409,7,13
1655243047,19,13
1655257683,11,14
1655272325,22,16
1655286965,14,17
1655301635,9,22
1655316275,16,14
1655330913,25,15
1655345550,18,23
1655360406,26,20
1655375077,18,13
1655389716,19,9
1655404325,13,18
1655418996,13,25
1655433604,13,19
1655448493,9,23
1655463367,12,24
1655478005,12,9
