DateTime,AddedIPs,RemovedIPs
1658338322,0,1
1658341922,0,1
1658345522,1,2
1658347321,0,13
1658349722,1,0
1658352122,0,1
1658357522,1,0
1658359922,1,0
1658371922,1,0
1658373122,0,1
1658374922,1,0
1658375522,20,0
1658376122,0,2
1658376722,0,2
1658377922,0,5
1658381522,0,1
1658382722,0,21
1658385721,0,2
1658391122,3,1
1658392922,2,7
1658393522,0,1
1658398322,0,1
1658412122,0,2
1658413322,0,2
1658415122,0,1
1658416322,1,6
1658416921,0,2
1658418722,0,1
1658424121,0,1
1658425322,0,7
1658426522,0,2
1658428322,1,3
1658430121,0,15
1658431922,4,5
1658433721,0,2
1658434922,0,1
1658437322,0,1
1658441522,0,3
1658444522,1,0
1658445122,1,7
1658446922,0,8
1658447521,1,1
1658451721,0,4
1658452922,1,0
1658457722,0,1
1658458922,1,1
1658460122,0,1
1658461322,1,1
1658462522,0,1
1658463722,1,6
1658464322,1,16
1658466122,0,3
1658467922,0,1
1658471522,0,2
1658473321,0,1
1658473922,0,1
1658480522,2,1
1658481722,0,7
1658487722,0,2
1658490122,3,0
1658495522,0,1
1658498521,1,0
1658499122,0,1
1658502122,1,0
1658502722,0,1
1658503922,0,1
1658505722,0,1
1658509322,2,0
1658514722,0,1
1658515922,0,1
1658517722,1,0
1658520721,1,0
1658524922,0,1
1658532122,0,4
1658532722,0,2
1658536322,0,1
1658536922,0,1
1658538122,1,0
1658539322,0,6
1658540522,0,1
1658541722,0,1
1658542322,1,0
1658544722,1,0
1658547722,0,1
1658548921,2,3
1658550722,0,2
1658553122,0,1
1658554922,1,15
1658557321,0,2
1658563322,1,2
1658569322,0,1
1658570521,0,1
1658574722,0,3
1658576522,1,0
1658578322,0,1
1658580122,1,0
1658580722,1,2
1658584921,1,1
1658585522,1,0
1658587321,0,32
1658594522,1,0
1658595722,1,0
1658597522,0,1
1658599322,0,3
1658599921,0,3
1658601122,0,5
1658602921,0,19
1658605322,0,1
1658605922,0,1
1658608922,1,0
1658613722,0,7
1658616721,0,1
1658618522,0,23
1658619722,0,2
1658620322,0,1
1658621522,0,3
1658625722,0,1
1658626922,2,0
1658628121,2,0
1658631122,1,0
1658634122,0,6
1658643722,0,2
1658646122,0,1
1658655722,0,1
1658656922,0,1
1658657522,1,0
1658660522,1,1
1658662922,1,0
1658665322,0,1
1658670722,1,0
1658671922,0,5
1658674922,4,0
1658677322,0,3
1658677922,1,1
1658680322,0,2
1658682121,0,3
1658683922,1,0
1658684522,0,1
1658685722,2,0
1658686922,0,1
1658687522,0,11
1658690522,5,0
1658694122,1,3
1658696522,0,2
1658697722,1,0
1658699522,0,1
1658703722,0,1
1658708522,1,2
1658709722,0,1
1658713321,0,4
1658715722,1,3
1658716922,1,0
1658718122,0,3
1658719322,0,10
1658721122,1,6
1658721722,1,0
1658724122,1,0
1658725922,1,1
1658726522,1,0
1658731322,0,2
1658731922,0,5
1658734922,0,2
1658736122,22,3
1658740322,0,3
1658742122,0,4
1658742721,0,6
1658746922,0,1
1658749322,0,1
1658753522,1,3
1658755322,2,1
1658757122,0,2
1658758922,0,1
1658760122,0,1
1658761322,1,0
1658762521,0,2
1658763722,0,2
1658767922,0,2
1658771522,0,2
1658772723,1,4
1658773922,2,0
1658776922,0,3
1658779322,0,10
1658779922,1,0
1658780522,0,4
1658781722,0,3
1658783522,1,2
1658784722,1,0
1658788922,0,1
1658792522,1,1
1658793723,0,3
1658794322,2,0
1658796122,0,1
1658797322,0,13
1658797922,1,0
1658800922,0,1
1658802122,0,3
1658805123,0,1
1658805723,0,3
1658808122,0,1
1658812922,21,0
1658814122,0,2
1658815322,0,1
1658821322,0,3
1658821922,0,16
1658823122,0,1
1658824922,0,1
1658826122,0,8
1658826722,0,2
1658827922,0,1
1658828522,0,2
1658829722,0,3
1658830922,1,1
1658832122,1,0
1658833923,0,3
1658835723,0,2
1658838122,0,3
1658839322,0,2
1658841122,0,3
1658842323,0,2
1658844122,0,4
1658845321,12,6
1658845922,0,10
1658847122,0,3
1658848922,0,1
1658850122,0,1
1658851322,1,2
1658852521,1,0
1658853722,0,1
1658854922,0,1
1658863322,1,0
1658864522,0,10
1658865121,1,0
1658868122,0,1
1658869323,2,0
1658869922,0,1
1658872922,0,6
1658875922,0,1
1658878322,1,2
1658878922,1,0
1658880122,0,2
1658881322,1,9
1658882522,0,14
1658883722,0,5
1658884323,1,0
1658884922,0,1
1658886122,0,4
1658887322,1,0
1658888522,1,5
1658889723,0,2
1658890922,0,4
1658892122,1,5
1658894522,0,4
1658897522,0,5
1658899323,0,10
1658906522,0,3
1658908922,1,8
1658910123,0,1
1658911323,1,0
1658911922,2,0
1658913122,0,1
1658914923,0,3
1658916122,1,26
1658917322,32,0
1658918522,0,1
1658920922,0,2
1658923922,0,4
1658932922,2,0
1658935322,0,1
1658936522,2,1
1658937122,0,2
1658940122,0,2
1658941922,1,0
1658942522,0,2
1658948522,0,2
1658949122,0,10
1658950322,0,11
1658952122,0,11
1658953322,0,1
1658955722,1,1
1658956923,1,0
1658958722,0,2
1658959322,0,1
1658961722,3,0
1658963522,0,2
1658965322,0,12
1658965922,0,1
1658967722,1,2
1658968323,0,1
1658969522,0,6
1658970722,0,5
1658973122,0,2
1658975522,0,3
1658976122,1,0
1658977322,4,2
1658979723,0,2
1658980322,0,5
1658982122,0,6
1658982722,0,4
1658983322,0,14
1658984522,0,10
1658985122,0,7
1658986922,0,2
1658992322,0,1
1659001322,1,1
1659002522,0,13
1659003722,2,0
1659007322,0,1
1659013923,1,0
1659018722,0,1
1659019922,4,0
1659021122,0,17
1659021722,0,1
1659029522,0,1
