DateTime,AddedIPs,RemovedIPs
1659009722,6,6
1659010322,1,1
1659010922,3,3
1659011523,3,3
1659012722,3,3
1659013923,3,3
1659015122,3,3
1659016322,3,3
1659016922,4,4
1659017522,4,4
1659018122,3,3
1659018722,3,3
1659019922,12,12
1659020522,5,5
1659021122,4,4
1659021722,5,5
1659022922,3,3
1659024122,1,1
1659024722,3,3
1659025322,3,3
1659027722,4,4
1659028922,5,5
1659029522,5,5
1659030122,3,3
1659030722,5,5
1659032522,5,5
1659033122,8,8
1659034322,3,3
1659034922,4,4
1659036122,4,4
1659036722,2,2
1659038522,2,2
1659040922,6,6
1659041522,5,5
1659042722,4,4
1659043322,3,3
1659043922,4,4
1659045122,5,5
1659046322,3,3
1659047522,6,6
1659048122,2,2
1659049922,4,4
1659050522,7,7
1659051122,5,5
1659051722,4,4
1659052922,9,44
1659054122,4,1
1659055323,1,3
1659056522,1,1
1659057723,1,1
1659058322,1,0
1659058922,3,1
1659060123,1,1
1659060722,2,0
1659062522,2,4
1659063722,1,0
1659064922,1,1
1659066122,0,2
1659066722,4,2
1659067922,2,0
1659069122,2,3
1659069722,1,1
1659070322,1,1
1659072122,0,2
1659073322,2,0
1659074522,53,24
1659075722,3,3
1659076322,4,4
1659076922,1,1
1659078122,2,2
1659079322,2,2
1659079922,2,2
1659081122,1,1
1659081722,3,3
1659082922,2,2
1659084122,3,3
1659084722,1,1
1659085922,3,3
1659087123,2,2
1659088922,4,4
1659089522,1,1
1659090722,4,4
1659091922,1,1
1659093722,2,2
1659094323,2,2
1659094922,2,2
1659096122,2,2
1659097322,3,3
1659097922,2,2
1659099122,2,2
1659100322,3,3
1659100922,5,5
1659102122,4,4
1659103322,3,3
1659104522,31,31
1659106922,3,3
1659108122,4,4
1659109322,3,3
1659111722,2,2
1659112322,2,2
1659113522,4,4
1659114722,6,6
1659115922,5,5
1659116522,3,3
1659117122,2,2
1659118322,6,6
1659119522,4,4
1659120122,5,5
1659121322,5,5
1659122522,5,5
1659123722,4,4
1659124922,4,4
1659125521,4,4
1659126722,5,5
1659127322,3,3
1659128522,4,4
1659129722,4,4
1659130922,3,3
1659131522,3,3
1659132722,6,6
1659133922,5,5
1659135122,5,5
1659135722,5,5
1659136922,5,5
1659137522,4,4
1659138122,5,5
1659138722,5,5
1659139322,10,10
1659140522,2,2
1659141722,4,4
1659142922,3,3
1659144122,6,6
1659145322,7,7
1659146522,5,5
1659147722,5,5
1659148322,2,2
1659149522,5,5
1659150722,3,3
1659151322,1,1
1659151922,3,3
1659152522,3,3
1659153722,5,5
1659154922,5,5
1659157322,3,3
1659158522,3,3
1659159722,3,3
1659160322,5,5
1659161522,3,3
1659162122,4,4
1659163922,3,3
1659164522,5,5
1659166922,2,2
1659168122,4,4
1659169322,4,4
1659170522,5,5
1659172322,2,2
1659172922,3,3
1659174122,3,3
1659175322,2,2
1659175922,4,4
1659176522,3,3
1659177722,6,6
1659180723,5,5
1659181322,4,4
1659182522,4,4
1659183122,3,3
1659183722,4,4
1659184922,2,2
1659186122,7,7
1659187322,6,6
1659188522,4,4
1659189722,5,5
1659190322,7,7
1659190922,41,41
1659192122,3,3
1659193322,1,1
1659194522,2,2
1659195122,4,4
1659195722,6,6
1659196922,2,2
1659199322,5,5
1659199922,3,3
1659202322,6,6
1659202922,5,5
1659203522,4,4
1659204121,4,4
1659205322,8,8
1659206522,5,5
1659207123,2,2
1659208922,2,2
1659210122,4,4
1659211322,3,3
1659212522,5,5
1659216121,7,7
1659217322,5,5
1659217922,4,4
1659218522,4,4
1659219122,4,4
1659219722,3,3
1659221522,2,2
1659222122,4,4
1659223322,3,3
1659225122,4,4
1659225722,1,27
1659226322,1,0
1659227523,0,1
1659228722,2,0
1659229323,0,1
1659229922,2,0
1659230522,1,2
1659231722,1,2
1659232322,3,0
1659232922,0,3
1659233522,1,0
1659234722,5,0
1659235322,0,1
1659236521,6,1
1659237722,0,3
1659238322,2,2
1659239522,11,1
1659242522,1,0
